rentability,codeunivers,codefamille
25890826.73999599,U3,120
17461174.600009263,U1,020
13094263.079999186,U1,010
12876658.429993434,U4,220
10245218.210001864,U1,080
9370663.65999959,U1,100
8230891.960003194,U1,060
8140625.820002019,U2,090
7742154.8600001,U2,070
6141795.400000324,U1,050
5917722.979980658,U0,160
4425300.299999515,U2,130
4300843.680000172,U3,110
3351341.710000336,U1,040
3191150.770001695,U1,030
2339395.8299999614,U1,190
753928.0200000578,U4,140
680586.6800000059,U1,170
568901.3399999912,U2,210
282383.97000002314,U4,200
10700.630000000227,U0,230
1761.6000000000017,U1,180
1030.5499999999997,U0,400
-12475.899999999827,U0,900
-910804.8200004409,COUPON,COUPON
